date,safegraph_place,visitor_home_cbg,number
2019-01-07,sg:dc6935951f8041f5a38bf4f192d2ad2d,511210207004,4
2019-01-07,sg:dc6935951f8041f5a38bf4f192d2ad2d,511970504024,4
2019-01-07,sg:50d01bc4b6a6456182c8cd7d35b62043,
2019-01-07,sg:89fcb5f0ea35445eaabbe303c0916b92,517500102005,6
2019-01-07,sg:89fcb5f0ea35445eaabbe303c0916b92,511210215002,4
2019-01-07,sg:89fcb5f0ea35445eaabbe303c0916b92,511210211002,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076114003,5
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110214,5
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076115021,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,540379727023,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110043,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076105051,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,540039721013,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106021,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076101012,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,517600403001,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076112071,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076112062,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,510690506003,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110053,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076101011,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076118061,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106014,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076105033,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110051,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511539008011,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076107021,4
